epoch,train_acc,val_acc,test_acc
1,0.5544778435969353,0.6780802648305893,0.6790592505216598
2,0.6317996315717697,0.711743063044548,0.7181984001159668
3,0.6645756810569763,0.7435244374752045,0.7418510962486267
4,0.6878948232889175,0.774577118396759,0.7733658190727234
5,0.7075364587211609,0.7858676416397095,0.7888549805164338
6,0.7240449483346939,0.8184649122953415,0.812045522236824
7,0.7384523981142044,0.8193622854709626,0.8139816472053528
8,0.751085986828804,0.8442127657175064,0.8391601417541504
9,0.7625332800865173,0.8540288363933564,0.8587039250135422
10,0.7728670186376572,0.8642662840366363,0.8676818712472916
11,0.7821764887428284,0.8622008956193924,0.87370453748703
12,0.7906715891838074,0.8661174210548401,0.870561360001564
13,0.7982212382602691,0.8732751235246659,0.8780102247476578
14,0.8051446719169617,0.8778876442193985,0.8864161574840546
15,0.8113653606796265,0.8899774881124497,0.8878397248744965
