epoch,train_acc,val_acc,test_acc
1,0.5860974303197861,0.7428753967761993,0.7405848604679107
2,0.6946494686222077,0.8210470337390899,0.8266609915018082
3,0.7466669022655487,0.8618562910556793,0.8689836580514908
4,0.7798802465105057,0.8809544759750366,0.8811492411375046
5,0.8035080217790603,0.8931021783351898,0.8905286820888519
6,0.8213437209320068,0.8922806438684463,0.8936332969427109
7,0.8352809922599792,0.9055380912303924,0.9118073230743409
8,0.8465313756370545,0.9192560871124268,0.9204391232967377
9,0.8558807091760635,0.9104645637512208,0.9117127219676971
10,0.8637213269615174,0.9243852385997772,0.922174724149704
11,0.8705386504030228,0.9280549889802933,0.9233641136884689
12,0.8764787479352951,0.9336486895084382,0.9290729864358902
13,0.8817366113519669,0.9246688861846923,0.9247640153408051
14,0.8864320651054383,0.9273355409383773,0.9271397100448608
15,0.8906509885168076,0.9233190750360489,0.9269721495389939
